I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.16,0.06,0.065
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.16,0.06,0.065
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.16,0.06,0.065
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.16,0.06,0.065
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.161,0.06,0.065
-0.015,0.12,0.135,-0.053,-0.075,0.127,-0.105,0.07,0.115,0.16,0.06,0.065
-0.023,0.112,0.135,-0.045,-0.079,0.123,-0.097,0.062,0.107,0.148,0.052,0.057
-0.031,0.103,0.134,-0.037,-0.082,0.118,-0.092,0.054,0.099,0.138,0.044,0.049
-0.041,0.097,0.138,-0.029,-0.09,0.118,-0.088,0.047,0.091,0.131,0.036,0.041
-0.052,0.095,0.147,-0.022,-0.1,0.121,-0.085,0.045,0.083,0.123,0.028,0.034
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.085,0.045,0.075,0.115,0.02,0.03
-0.05,0.095,0.146,-0.023,-0.099,0.121,-0.085,0.045,0.067,0.107,0.012,0.022
-0.053,0.092,0.145,-0.02,-0.099,0.118,-0.082,0.045,0.062,0.099,0.004,0.017
-0.056,0.089,0.145,-0.017,-0.1,0.117,-0.079,0.045,0.058,0.092,-0.003,0.011
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.08,0.045,0.055,0.09,-0.005,0.003
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.08,0.045,0.055,0.09,-0.005,0.0
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.076,0.045,0.055,0.09,-0.005,0.0
-0.058,0.087,0.145,-0.015,-0.102,0.116,-0.074,0.045,0.055,0.087,-0.005,0.0
-0.061,0.084,0.145,-0.012,-0.103,0.115,-0.076,0.045,0.055,0.084,-0.005,0.0
-0.06,0.085,0.145,-0.013,-0.103,0.115,-0.074,0.045,0.055,0.085,-0.006,0.0
-0.06,0.085,0.145,-0.013,-0.103,0.115,-0.07,0.045,0.055,0.085,-0.01,0.0
-0.064,0.081,0.145,-0.009,-0.105,0.112,-0.07,0.045,0.055,0.085,-0.01,0.0
-0.065,0.08,0.145,-0.008,-0.105,0.112,-0.071,0.045,0.055,0.082,-0.01,0.0
-0.065,0.08,0.145,-0.008,-0.105,0.112,-0.068,0.045,0.055,0.079,-0.01,0.0
-0.064,0.08,0.144,-0.009,-0.104,0.112,-0.065,0.045,0.055,0.08,-0.01,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.065,0.045,0.055,0.08,-0.01,0.0
-0.064,0.076,0.14,-0.006,-0.102,0.107,-0.065,0.045,0.055,0.08,-0.01,0.0
-0.066,0.075,0.14,-0.004,-0.103,0.107,-0.062,0.045,0.052,0.077,-0.013,0.0
-0.065,0.075,0.14,-0.005,-0.103,0.107,-0.059,0.045,0.049,0.074,-0.016,0.0
-0.065,0.075,0.14,-0.005,-0.103,0.107,-0.06,0.045,0.05,0.075,-0.015,0.0
-0.065,0.075,0.14,-0.005,-0.103,0.107,-0.06,0.045,0.05,0.075,-0.015,0.0
-0.061,0.079,0.14,-0.009,-0.1,0.11,-0.056,0.045,0.05,0.071,-0.015,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.055,0.045,0.05,0.07,-0.014,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.055,0.045,0.05,0.07,-0.017,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.055,0.045,0.05,0.07,-0.02,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.055,0.045,0.05,0.07,-0.02,0.0
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.051,0.041,0.05,0.066,-0.02,0.0
-0.059,0.08,0.139,-0.01,-0.099,0.11,-0.05,0.04,0.05,0.065,-0.02,0.0
-0.062,0.08,0.142,-0.009,-0.102,0.111,-0.05,0.04,0.05,0.065,-0.02,0.0
-0.066,0.08,0.145,-0.008,-0.106,0.112,-0.05,0.04,0.05,0.065,-0.02,0.0
-0.065,0.08,0.145,-0.008,-0.105,0.112,-0.05,0.04,0.05,0.065,-0.02,0.0
-0.064,0.08,0.145,-0.008,-0.104,0.112,-0.05,0.04,0.046,0.061,-0.024,0.0
-0.069,0.079,0.148,-0.005,-0.109,0.113,-0.05,0.04,0.045,0.06,-0.025,0.0
-0.067,0.083,0.151,-0.008,-0.109,0.117,-0.05,0.04,0.045,0.06,-0.027,0.0
-0.058,0.092,0.15,-0.017,-0.104,0.121,-0.05,0.04,0.045,0.06,-0.031,0.0
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.04,0.045,0.06,-0.03,0.0
-0.059,0.095,0.154,-0.018,-0.107,0.125,-0.05,0.04,0.045,0.06,-0.026,0.0
-0.061,0.095,0.155,-0.018,-0.108,0.125,-0.05,0.04,0.045,0.06,-0.025,0.0
-0.06,0.095,0.155,-0.018,-0.108,0.125,-0.05,0.04,0.045,0.06,-0.025,0.0
-0.06,0.095,0.155,-0.018,-0.108,0.125,-0.05,0.04,0.044,0.06,-0.025,0.0
-0.06,0.095,0.155,-0.018,-0.108,0.125,-0.05,0.04,0.04,0.06,-0.025,0.0
-0.056,0.095,0.151,-0.02,-0.104,0.122,-0.05,0.041,0.04,0.06,-0.025,-0.004
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.037,0.04,0.06,-0.025,-0.009
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.05,0.04,0.06,-0.025,-0.008
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.066,0.04,0.059,-0.025,-0.004
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.06,0.04,0.055,-0.025,-0.005
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.059,0.04,0.055,-0.025,-0.005
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.061,0.041,0.055,-0.025,-0.005
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.058,0.038,0.055,-0.025,-0.005
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.055,0.035,0.055,-0.024,-0.004
